,Unnamed: 0,id,city,code,name,urlKey,budget,tag,tags,rating,reviewNumber,discounts,is_premium,is_promoted,chain.id,chain.name,chain.url_key,chain.is_accepting_global_vouchers,chain.code,chain.main_vendor_code,characteristics.cuisines,characteristics.food_characteristics,characteristics.primary_cuisine.id,characteristics.primary_cuisine.name,characteristics.primary_cuisine.url_key,characteristics.primary_cuisine.main,lat,long,street_address,Unnamed: 0.1,@id,address.streetAddress,address.addressLocality,geo.latitude,geo.longitude,potentialAction.priceSpecification.price
394,394,45952.0,lahore,p2uu,Golden Restaurant & Karahi Tikka,golden-restaurant-and-karahi-tikka,1.0,,[],3.9,179.0,[],False,False,,,,,,,"['non-alcoholic-drinks', 'pakistani']","[{'id': 110, 'name': 'Paratha', 'is_halal': False, 'is_vegetarian': False}, {'id': 121, 'name': 'Tandoor', 'is_halal': False, 'is_vegetarian': False}, {'id': 176, 'name': 'Pulao', 'is_halal': False, 'is_vegetarian': False}, {'id': 178, 'name': 'Qorma', 'is_halal': False, 'is_vegetarian': False}, {'id': 58, 'name': 'Chicken', 'is_halal': False, 'is_vegetarian': False}, {'id': 114, 'name': 'Karahi', 'is_halal': False, 'is_vegetarian': False}, {'id': 147, 'name': 'Biryani', 'is_halal': False, 'is_vegetarian': False}, {'id': 227, 'name': 'Ramadan Takeaway', 'is_halal': False, 'is_vegetarian': False}, {'id': 84, 'name': 'Rice', 'is_halal': False, 'is_vegetarian': False}, {'id': 85, 'name': 'Salad', 'is_halal': False, 'is_vegetarian': False}]",139.0,Pakistani,pakistani,True,,,,394,https://www.foodpanda.pk/restaurant/p2uu/golden-restaurant-and-karahi-tikka,Shop# 34 Main gurumangat road opposite Sui Gas building Gulburg 3 Lahore,Lahore,31.5099937,74.3577502,38.75
395,395,64960.0,lahore,wrez,Malik Fast Food,malik-fast-food-3,1.0,,[],3.2,9.0,[],False,False,,,,,,,"['non-alcoholic-drinks', 'fast-food', 'sandwiches']","[{'id': 148, 'name': 'Chips', 'is_halal': False, 'is_vegetarian': False}, {'id': 226, 'name': 'Corporate Exclusives - April', 'is_halal': False, 'is_vegetarian': False}, {'id': 230, 'name': 'Takeaway Eid', 'is_halal': False, 'is_vegetarian': False}]",86.0,Fast Food,fast-food,True,,,,395,https://www.foodpanda.pk/restaurant/wrez/malik-fast-food-3,"Gulberg Rd, Millat Colony, Lahore, Punjab",Lahore,31.52816957,74.36011192,188.18
396,396,24284.0,lahore,n2rm,Food Land,food-land,3.0,,[],3.4,35.0,[],False,False,,,,,,,"['fast-food', 'burgers', 'pizza']","[{'id': 99, 'name': 'Wraps', 'is_halal': False, 'is_vegetarian': False}, {'id': 58, 'name': 'Chicken', 'is_halal': False, 'is_vegetarian': False}, {'id': 227, 'name': 'Ramadan Takeaway', 'is_halal': False, 'is_vegetarian': False}, {'id': 230, 'name': 'Takeaway Eid', 'is_halal': False, 'is_vegetarian': False}]",86.0,Fast Food,fast-food,True,,,,396,https://www.foodpanda.pk/restaurant/n2rm/food-land,Walton Road Near Defence Mor Madina Milk shop,Lahore,31.493927000000003,74.372824,826.94
397,397,64556.0,lahore,us4f,Tasty Yakhni Pulao,tasty-yakhni-pulao,2.0,Top Rated,"[{'code': 'FREETEXT', 'text': 'Top Rated'}]",4.5,518.0,[],False,False,,,,,,,['pakistani'],"[{'id': 176, 'name': 'Pulao', 'is_halal': False, 'is_vegetarian': False}, {'id': 227, 'name': 'Ramadan Takeaway', 'is_halal': False, 'is_vegetarian': False}, {'id': 230, 'name': 'Takeaway Eid', 'is_halal': False, 'is_vegetarian': False}]",139.0,Pakistani,pakistani,True,,,,397,https://www.foodpanda.pk/restaurant/us4f/tasty-yakhni-pulao,"Gurumangat Rd, Makkah Colony Lahore, Punjab",Lahore,31.49834655,74.35699435,193.33
398,398,64148.0,lahore,uj4c,Food Fusion By Sundas,food-fusion-by-sundas,2.0,Voucher: EF75,"[{'code': 'FREETEXT', 'text': 'Voucher: EF75'}]",0.0,0.0,[],False,False,,,,,,,"['asian', 'sandwiches']",[],75.0,Asian,asian,True,,,,398,https://www.foodpanda.pk/restaurant/uj4c/food-fusion-by-sundas,"E-75, Street 4, Super Town Lahore",Lahore,31.4929432,74.375466,212.22
399,399,15770.0,lahore,u4hh,Wasabi - Gulberg,wasabi-gulberg,3.0,Flat 30% OFF,"[{'code': 'DEAL', 'text': 'Flat 30% OFF'}, {'code': 'FREETEXT', 'text': 'Top Packaging'}]",4.2,194.0,[],False,False,,Wasabi,wasabi,,cf6jf,u4hh,"['fast-food', 'pakistani']","[{'id': 227, 'name': 'Ramadan Takeaway', 'is_halal': False, 'is_vegetarian': False}, {'id': 230, 'name': 'Takeaway Eid', 'is_halal': False, 'is_vegetarian': False}]",86.0,Fast Food,fast-food,True,,,,399,https://www.foodpanda.pk/restaurant/u4hh/wasabi-gulberg,"98(A) B-1 Gulberg-III, MM Alam Road, Lahore. Lahore",Lahore,31.51657,74.352453,1096.14
400,400,60745.0,lahore,itgb,Usman Fast Food,usman-fast-food-1,2.0,Food Fest Deals,"[{'code': 'DEAL', 'text': 'Food Fest Deals'}]",3.6,32.0,[],False,False,,,,,,,"['non-alcoholic-drinks', 'fast-food', 'burgers', 'sandwiches']","[{'id': 99, 'name': 'Wraps', 'is_halal': False, 'is_vegetarian': False}, {'id': 119, 'name': 'Roll Paratha', 'is_halal': False, 'is_vegetarian': False}]",86.0,Fast Food,fast-food,True,,,,400,https://www.foodpanda.pk/restaurant/itgb/usman-fast-food-1,"Shop # 31, Street 3-C, Main Bazar Model Colony Gulberg 3 Main Bazar Model Colony Gulberg 3",Lahore,31.499285,74.3496946,261.8
401,401,60598.0,lahore,qsd4,Meal,meal,3.0,,[],0.0,0.0,[],False,False,,,,,,,"['non-alcoholic-drinks', 'chinese', 'seafood', 'pakistani']","[{'id': 68, 'name': 'Fried Chicken', 'is_halal': False, 'is_vegetarian': False}, {'id': 90, 'name': 'Soup', 'is_halal': False, 'is_vegetarian': False}, {'id': 227, 'name': 'Ramadan Takeaway', 'is_halal': False, 'is_vegetarian': False}, {'id': 230, 'name': 'Takeaway Eid', 'is_halal': False, 'is_vegetarian': False}]",139.0,Pakistani,pakistani,True,,,,401,https://www.foodpanda.pk/restaurant/qsd4/meal,Food street silver star Mall opposite SMAX cinema fortrees stadium lahore,Lahore,31.5329014,74.36264200000001,459.44
402,402,51470.0,lahore,c6yr,Mommy's kitchen,mommys-kitchen-3,2.0,Discount 15%,"[{'code': 'DEAL', 'text': 'Discount 15%'}, {'code': 'FREETEXT', 'text': 'Voucher: EF75'}]",4.1,1142.0,[],False,False,,,,,,,['pakistani'],"[{'id': 99, 'name': 'Wraps', 'is_halal': False, 'is_vegetarian': False}, {'id': 110, 'name': 'Paratha', 'is_halal': False, 'is_vegetarian': False}, {'id': 177, 'name': 'Haleem', 'is_halal': False, 'is_vegetarian': False}, {'id': 178, 'name': 'Qorma', 'is_halal': False, 'is_vegetarian': False}, {'id': 222, 'name': 'Ramadan deals', 'is_halal': False, 'is_vegetarian': False}, {'id': 58, 'name': 'Chicken', 'is_halal': False, 'is_vegetarian': False}, {'id': 146, 'name': 'Kabab', 'is_halal': False, 'is_vegetarian': False}, {'id': 114, 'name': 'Karahi', 'is_halal': False, 'is_vegetarian': False}, {'id': 216, 'name': 'Garma garam nashta', 'is_halal': False, 'is_vegetarian': False}, {'id': 230, 'name': 'Takeaway Eid', 'is_halal': False, 'is_vegetarian': False}]",139.0,Pakistani,pakistani,True,,,,402,https://www.foodpanda.pk/restaurant/c6yr/mommys-kitchen-3,Shaeen Colony nashter street Lahore Cantt Munawwar general store.,Lahore,31.4883066,74.36514155,125.02
403,403,68944.0,lahore,ycin,ANDY'S KITCHEN,andys-kitchen,2.0,Discount 10% OFF,"[{'code': 'DEAL', 'text': 'Discount 10% OFF'}, {'code': 'NEW', 'text': 'NEXTGEN_NEW_TAG'}]",0.0,0.0,[],False,False,,,,,,,"['pakistani', 'burgers', 'sandwiches']","[{'id': 99, 'name': 'Wraps', 'is_halal': False, 'is_vegetarian': False}]",139.0,Pakistani,pakistani,True,,,,403,https://www.foodpanda.pk/restaurant/ycin/andys-kitchen,"Block B2 Block B 2 Gulberg III, Lahore, Punjab,",Lahore,31.51069996,74.35224817,618.77
404,404,67880.0,lahore,ruly,Sweet Affairs - Gulberg,sweet-affairs-gulberg,3.0,Discount 15% OFF ,"[{'code': 'DEAL', 'text': 'Discount 15% OFF '}, {'code': 'NEW', 'text': 'NEXTGEN_NEW_TAG'}]",3.3,6.0,[],False,False,,,,,,,"['pizza', 'desserts', 'burgers', 'cakes-and-bakery']",[],77.0,Cakes & Bakery,cakes-and-bakery,True,,,,404,https://www.foodpanda.pk/restaurant/ruly/sweet-affairs-gulberg,"2 Sir Syed Rd, Block P Gulberg 2, Lahore",Lahore,31.5214213,74.349199,811.68
